Image,Ranking
stimuli\L2_H0_S3\flu_L_emo_Neg_liking_H_juan-gris_still-life-with-guitar-1913.jpg,4
stimuli\L3_H1_S3\flu_L_emo_Pos_liking_H_amadeo-de-souza-cardoso_don-quihote-1914.jpg,1
stimuli\L3_H0_S3\flu_L_emo_Pos_liking_H_alice-baber_lavender-high-1968.jpg,34
stimuli\L2_H1_S1\flu_H_emo_Pos_liking_L_parmigianino_portrait-of-a-man-1530.jpg,21
stimuli\L1_H0_S3\flu_H_emo_Neg_liking_L_john-hoyland_warrior-universe.jpg,35
stimuli\L2_H0_S1\flu_H_emo_Pos_liking_L_jean-baptiste-simeon-chardin_still-life-with-glass-flask-and-fruit.jpg,22
stimuli\L3_H1_S1\flu_L_emo_Neg_liking_H_agnolo-bronzino_portrait-of-guidubaldo-della-rovere-1532.jpg,17
stimuli\L1_H1_S1\flu_L_emo_Neg_liking_L_francisco-de-zurbaran_the-death-of-st-bonaventura-1629.jpg,16
stimuli\L1_H0_S2\flu_L_emo_Neg_liking_H_albert-bloch_winter-in-the-dead-wood-1938.jpg,7
stimuli\L2_H0_S3\flu_H_emo_Neg_liking_L_juan-gris_compotier-carafe-and-open-book.jpg,9
stimuli\L2_H0_S2\flu_L_emo_Neg_liking_H_otto-dix_trenches.jpg,5
stimuli\L1_H1_S3\flu_H_emo_Neg_liking_L_eva-hesse_no-title-1960.jpg,34
stimuli\L1_H1_S2\flu_L_emo_Neg_liking_H_kathe-kollwitz_whetting-the-scythe.jpg,20
stimuli\L2_H1_S3\flu_L_emo_Neg_liking_L_diego-rivera_the-architect-jesus-t-acevedo.jpg,8
stimuli\L1_H0_S2\flu_L_emo_Neg_liking_H_egon-schiele_krumau-on-the-molde-1912.jpg,25
stimuli\L3_H0_S1\flu_H_emo_Pos_liking_H_jacob-isaakszoon-van-ruisdael_road-through-corn-fields-near-the-zuider-zee-1662.jpg,26
stimuli\L2_H0_S1\flu_L_emo_Neg_liking_H_frans-snyders_still-life-with-crab-poultry-and-fruit-1620.jpg,15
stimuli\L3_H1_S1\flu_H_emo_Neg_liking_H_john-collier_the-last-voyage-of-henry-hudson-1881.jpg,13
stimuli\L3_H1_S2\flu_H_emo_Pos_liking_H_john-duncan-fergusson_anne-estelle-rice-in-paris-closerie-des-lilas-1907.jpg,31
stimuli\L3_H0_S2\flu_H_emo_Pos_liking_H_martiros-saryan_flowers-of-armenia-1916.jpg,28
stimuli\L2_H1_S3\flu_L_emo_Pos_liking_L_pablo-picasso_seated-female-nude-1910.jpg,6
stimuli\L2_H0_S2\flu_L_emo_Neg_liking_L_egon-schiele_krumau-1911.jpg,18
stimuli\L1_H0_S1\flu_H_emo_Neg_liking_L_albrecht-durer_quarry-1.jpg,12
stimuli\L3_H0_S1\flu_H_emo_Pos_liking_H_jacob-isaakszoon-van-ruisdael_view-of-haarlem-with-bleaching-fields-in-the-foreground-1670.jpg,27
stimuli\L2_H1_S1\flu_H_emo_Neg_liking_H_paolo-veronese_portrait-of-architect-vincenzo-scamozzi.jpg,24
stimuli\L3_H1_S3\flu_L_emo_Pos_liking_H_lyubov-popova_air-man-space.jpg,3
stimuli\L1_H1_S1\flu_L_emo_Neg_liking_L_peter-paul-rubens_bacchanale.jpg,14
stimuli\L1_H0_S1\flu_L_emo_Neg_liking_L_jean-baptiste-simeon-chardin_still-life-with-pheasant.jpg,19
stimuli\L1_H0_S3\flu_H_emo_Pos_liking_L_paul-reed_12-1964.jpg,36
stimuli\L1_H1_S2\flu_H_emo_Neg_liking_H_chronis-botsoglou_helen.jpg,33
stimuli\L3_H1_S2\flu_H_emo_Pos_liking_L_octav-bancila_ig-ncu-cu-batic-ro-u-1915.jpg,23
stimuli\L2_H1_S2\flu_H_emo_Neg_liking_H_marcel-duchamp_portrait-of-the-artist-s-father-1910.jpg,32
stimuli\L3_H0_S3\flu_H_emo_Pos_liking_H_marevna-(marie-vorobieff)_athelhampton-garden.jpg,11
stimuli\L3_H0_S2\flu_H_emo_Pos_liking_H_jan-sluyters_still-life-with-spring-flowers-1926.jpg,29s
stimuli\L1_H1_S3\flu_H_emo_Neg_liking_L_marc-chagall_soldiers-1912.jpg,2
stimuli\L2_H1_S2\flu_L_emo_Neg_liking_L_andre-dunoyer-de-segonzac_baigneuses-1905.jpg,10
